question,answer_llm,answer_orig,document
How do students join the office hours or live workshop stream if the Zoom link isn't public?,"Students join via **YouTube Live**, not the public Zoom link. The Zoom link is only shared with instructors/presenters/TAs.

What to do:
- Watch the stream on the **DataTalksClub YouTube Channel**
- Find the video URL in the **announcements channel on Telegram or Slack** before it starts
- Submit questions in **Slido** — the link is pinned in chat during the live session

Don’t post questions in the chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where is the live video link for office hours usually announced before the session starts?,The live video link is usually posted in the announcements channel on Telegram and Slack before the session starts.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I watch the workshop live on YouTube, or do I need the Zoom link?",You can watch it live on YouTube — you do **not** need the Zoom link. The Zoom link is only for instructors/presenters/TAs. Students should use the YouTube Live stream and submit questions via Slido.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"If I have a question during the live session, where should I send it instead of posting in chat?",Send it to **Slido** during the live session — the link is pinned in the chat when live. Don’t post questions in chat.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Who is allowed to see the Zoom link for office hours and workshop sessions?,"The Zoom link is only published to instructors, presenters, and TAs.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do I begin the LLM Zoomcamp course and what should I check first?,"Start with these three places:

1. **LLM Zoomcamp docs**  
   https://datatalks.club/docs/courses/llm-zoomcamp/

2. **General Zoomcamp logistics docs**  
   https://datatalks.club/docs/courses/zoomcamp-logistics/

3. **LLM Zoomcamp GitHub repo**  
   https://github.com/DataTalksClub/llm-zoomcamp

What to check first:
- The **course management platform** for the current syllabus, deadlines, and progress tracking:  
  https://courses.datatalks.club/llm-zoomcamp-2026/

You can start anytime. A typical workflow is:
1. Watch the lesson videos
2. Work through the notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers on the course platform before the deadline","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What's the usual weekly routine for this course after I watch the lectures?,"A typical weekly routine is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Where do I find the videos, notebooks, homework instructions, and deadlines?","You can find them in:

- the **LLM Zoomcamp GitHub repository** for the videos, notebooks, and homework instructions
- the **course management platform** for **deadlines** and submission tracking

Useful links:
- Course platform: https://courses.datatalks.club/llm-zoomcamp-2026/
- GitHub repo: https://github.com/DataTalksClub/llm-zoomcamp
- Docs: https://datatalks.club/docs/courses/llm-zoomcamp/

If you mean the Module 1 homework specifically, the homework instructions are here:
https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I start the course any time, or is there a fixed start date?","You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson work, or is it different?","The homework is **similar to the lesson work, but not exactly the same**. It usually follows the same workflow/idea, but often uses a **different dataset** or asks you to apply the concept in a **slightly different way**.

","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
I can’t find myself on the leaderboard — how do I locate my entry?,"Click the **“Jump to your record on the leaderboard”** link — that will take you directly to your entry.

When you set up your account, you were automatically given a random display name (for example, **“Lucid Elbakyan”**). If you want to confirm or change that name, go to **“Edit Course Profile.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What name shows up for me on the leaderboard by default?,"By default, you show up on the leaderboard under a random nickname, like **“Lucid Elbakyan.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my display name is in the course profile?,Click **“Edit Course Profile”**. Your **first field** there is your **display name / public nickname** for the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I change the nickname that appears on the leaderboard or in public?,"Yes — you can change the nickname shown on the leaderboard/public display.

In **Edit Course Profile**, the **first field** is your **public nickname/display name**. You can change it to any nickname you want, such as your Slack username, GitHub username, or another nickname.

The **second field** is separate and is the name printed on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What name should I put in my profile if I want my certificate to show my real name instead of the random one?,"Put your **real official name** in the **second field** of **Edit Course Profile** — that’s the name printed on your certificate.

The **first field** is your public nickname/display name for the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I take the course on my own schedule and still get a certificate, or is that only for the live cohort?","No — you can’t get a certificate in self-paced mode. Certificates are only available if you finish the course with the live cohort, because you need to peer-review 3 capstone projects while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I finish the materials in self-paced mode, do I get any certificate at the end?","No. Certificates are only awarded if you finish the course with a live cohort, not in self-paced mode.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why isn’t there a certificate for people who study the course after the cohort is over?,"Because certificates are only awarded for finishing the course with a live cohort. In self-paced mode, there’s no certificate since you need to peer-review 3 capstones, and that peer-review process is only available while the course is running. After the cohort ends, the peer-review form is closed and the list is compiled, so that requirement can’t be completed.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to be in the live class to do the required peer reviews for the capstone project?,I don’t know.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Once the course form is closed, is it still possible to review other students’ projects and qualify for a certificate?","No. Once the form is closed, you can no longer review projects, and certificates are only available in the live cohort because peer reviews must be completed while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
I missed the first homework assignment — can I still get the certificate if I do the capstone?,"Yes — missing the first homework won’t prevent you from getting the certificate. You just need to pass the Capstone project. Homework is not mandatory, though it does help with reinforcement and leaderboard points.

","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Do I have to complete all the homework to receive the course certificate, or is the final project enough?","You do **not** have to complete all the homework to receive the course certificate. The **final capstone project is enough**, as long as you **pass it** and also complete the required **peer reviews** of three fellow students’ projects. Homework is recommended, but **not mandatory** for the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If I skip the homework but pass the Capstone project, am I still eligible for the certificate?","Yes. Homework is not mandatory, so if you skip it but pass the Capstone project, you are still eligible for the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Are homework submissions required for certification in this course, or are they only for practice and leaderboard points?","Homework submissions are **not required for certification**. They are mainly for **practice** and **leaderboard points**.

To get the certificate, you only need to **pass the Capstone project**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Does missing one homework affect my chance of getting the certificate, or is the capstone the only requirement?",Missing one homework does **not** affect your chance of getting the certificate. The **capstone project is the only required part** for the certificate; homework is optional and only affects your leaderboard rank.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does this homework keep changing every time I check it?,"If the homework title contains `[DRAFT]`, it means it’s not ready yet, so the content can still change. The homework is only final when:

- the homework form is open on the course management platform, and
- the title does **not** contain `[DRAFT]`.

Until then, changes are expected, so checking it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How do I know when a homework assignment is actually ready and not still being edited?,"The homework is ready only when **both** are true:

- The homework form is **open** on the course management platform.
- The homework title **does not contain** `[DRAFT]`.

If the title still has `[DRAFT]`, it’s not ready yet and may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"If I see [DRAFT] in the homework title, does that mean I shouldn’t submit or start it yet?","Yes. If the homework title contains `[DRAFT]`, it means the homework is not ready yet, so you should not treat it as final. You can work on it at your own risk, but the content may still change.

The homework is ready only when:
- the homework form is open on the course management platform, and
- the title does **not** contain `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the homework details change even after the form is already on the course platform?,"Yes. The homework content can still change after it appears on the course platform.

It’s considered ready only when:
- the homework form is open on the course platform, and
- the homework title does **not** contain `[DRAFT]`.

Until then, it may still be updated, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Is it safe to work on homework early, or could the final version end up different?","Yes — it’s safe to work on homework early only at your own risk. If the homework title contains `[DRAFT]`, the content can still change, so the final version may end up different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will run?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know what term or year the course is scheduled for next?,Summer 2027.,Summer 2027.,bd31146b0e
When can students expect the course to be offered again?,Summer 2027.,Summer 2027.,bd31146b0e
"Is there a planned next offering of the course, and when is it?",Yes — the next offering is planned for **Summer 2027**.,Summer 2027.,bd31146b0e
What’s the next course session date or term?,Summer 2027.,Summer 2027.,bd31146b0e
Where can I find the course videos or lecture links for each lesson?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there — each lesson page has the relevant **video/lecture links at the top**. If the repo and videos differ, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main page or repo I should open first to get to the videos?,"Yes — use the **LLM Zoomcamp GitHub repository** as the main entry point:

https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there, and each lesson page has the relevant videos linked at the top. If you're unsure, follow the GitHub repo first rather than the YouTube playlist, since it’s easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Do the lesson folders in the GitHub repo include the lecture videos at the top of each page?,Yes. The lesson folders in the GitHub repo include the relevant lecture videos linked at the top of each lesson page.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo instead of the YouTube playlist when looking for updated lesson links?,Yes — use the GitHub repo first for lesson links. It’s the main entry point and is easier to keep updated than the YouTube playlist.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
I can’t find the lectures — what’s the best place to start in the LLM Zoomcamp materials?,"Start with the **LLM Zoomcamp docs**, then check the **general Zoomcamp logistics docs** and the **LLM Zoomcamp GitHub repository**:

- https://datatalks.club/docs/courses/llm-zoomcamp/
- https://datatalks.club/docs/courses/zoomcamp-logistics/
- https://github.com/DataTalksClub/llm-zoomcamp

If you want the current syllabus, deadlines, homework, and progress, use the course management platform:

- https://courses.datatalks.club/llm-zoomcamp-2026/

A typical flow is:
1. Watch the lesson videos
2. Work through the notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers on the course platform before the deadline

","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I go to see the LLM Zoomcamp syllabus and keep track of deadlines and homework?,"Go to the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where you can see the **syllabus, deadlines, homework, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course platform for checking my progress in LLM Zoomcamp?,"Yes — you can track your syllabus, deadlines, homework, and progress on the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How can I find the current cohort structure and all the homework in one place?,"Use the **LLM Zoomcamp course management platform**:

- https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **current cohort structure**, **homework**, **deadlines**, and **progress tracking**.

For homework details, especially when something is unclear, also check the **GitHub homework instructions** for your module.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What's the official site for following LLM Zoomcamp deadlines and progress?,"The official site to follow LLM Zoomcamp deadlines and progress is the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Do I need a special platform to track assignments and deadlines in this Zoomcamp?,"Yes — use the **LLM Zoomcamp course management platform** to track **assignments, deadlines, homework, and progress**.

Link: https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do you have live classes or office hours for every module in the course, or is everything mostly pre-recorded?","There are **no separate live sessions or office hours for every module by default**. The course materials are **mostly pre-recorded** and available in the course repo.

If live sessions happen, they’re **announced separately**. If you get stuck, you should ask in **Slack** and follow the course’s question-asking guidelines.

There is also **optional paid extra support** through **AI Shipping Labs**, which includes regular Zoom office hours, but that is **not part of the free course**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a module, where should I ask for help—Slack or somewhere else?","Ask in Slack. If it’s still unclear, include the code or command output as text, not a screenshot, and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are live sessions part of the regular course schedule, or do they only happen sometimes?","Live sessions are **not part of every module by default**. The course materials are mainly **pre-recorded**, and **live sessions are only announced separately when they happen**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
