question,document
"Did the FAQ dataset change after the videos were made, or am I doing something wrong?",e2d595f23c
Why are some questions missing and new ones appearing in the FAQ file compared to the lecture?,e2d595f23c
How come my output count doesn’t match the dataset size shown in the course demo?,e2d595f23c
"The homework deadline already passed, but the form is still open — can I still send my answers in?",a9353fadfe
"If the submission page hasn’t been closed yet, does that mean I’m still allowed to submit after the deadline?",a9353fadfe
Can I turn in homework late as long as the form is still accepting responses?,a9353fadfe
What happens if the listed deadline is over but the homework submission form is still open?,a9353fadfe
"Do I lose the chance to submit only when the form is closed, or already when the deadline passes?",a9353fadfe
"Can I still submit a homework after the deadline, or is the form closed for good?",cdc3b285e5
Do you ever give individual deadline extensions for homework in this course?,cdc3b285e5
"If I miss a homework, does that stop me from getting the certificate?",cdc3b285e5
"Are late homework submissions accepted at all, or only while the form is still open?",cdc3b285e5
What happens to my leaderboard rank if I skip one homework assignment?,cdc3b285e5
"Will the name I enter for the certificate be visible publicly anywhere, or is it private?",651ba06b34
"Is the certificate name shared with third parties, or only printed on the certificate itself?",651ba06b34
What name shows up on the public leaderboard if I set a different certificate name?,651ba06b34
"In Edit Course Profile, which field is for the leaderboard nickname and which one is for the certificate name?",651ba06b34
Can I keep my real name off the public course leaderboard but still use it on the certificate?,651ba06b34
Why don’t we use LangChain in this course if it’s made for LLM apps?,b7cdde6b25
Is there a reason we build the RAG parts ourselves instead of using a framework like LangChain?,b7cdde6b25
"Wouldn’t it be faster to start with LangChain for prompts, retrieval, and indexing?",b7cdde6b25
What’s the benefit of learning the low-level pieces before using LangChain?,b7cdde6b25
Is the idea to understand the basics first and only then move to a framework like LangChain?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
What does the OpenAI `responses.create` command error mean if it says I don't have enough credits?,f5df151c59
How can I fix the `OpenAI API Error: Insufficient credits` when using `responses.create`?,f5df151c59
Is there a reason `responses.create` fails with an insufficient credits message in OpenAI?,f5df151c59
Why am I seeing an insufficient credits error from OpenAI when following the RAG module examples?,f5df151c59
"Why am I getting OpenAI RateLimitError 429 with an insufficient_quota message, and how do I fix it?",152af39a53
Do I need to add money to my OpenAI account before using the API in this module?,152af39a53
What should I check in my billing or plan when the API says I exceeded my current quota?,152af39a53
"After topping up OpenAI credits, do I have to create a new API key or can I keep the old one?",152af39a53
Which OpenAI model should I use in `responses.create(...)` if `gpt-4o` is not available on my account?,152af39a53
How much money do I need to spend to use the OpenAI API for this course?,554d0eb78b
Do I have to add a lot of credit before I can start using the OpenAI API?,554d0eb78b
What’s the minimum top-up for OpenAI API usage in the course?,554d0eb78b
"Is OpenAI API usage expensive for the RAG module, or is it pretty cheap?",554d0eb78b
About how much does it usually cost when we use the OpenAI API in this course?,554d0eb78b
Do I need to pay for the OpenAI API to finish the course homework?,85384a18e5
Can I take this course without subscribing to OpenAI or using a paid API key?,85384a18e5
Are there free or cheap alternatives to OpenAI API for the assignments?,85384a18e5
Where can I find the list of OpenAI API alternatives for this course?,85384a18e5
"If I don't want to use OpenAI, what options does the course recommend instead?",85384a18e5
Why does the course use uv instead of pip and virtualenv for setup?,f81dea8f7e
"What does uv replace, and do I still need tools like pip or poetry?",f81dea8f7e
"Is uv required for the course, or can I keep using pip and virtualenv?",f81dea8f7e
What are the main benefits of using uv for Python versions and dependencies?,f81dea8f7e
Why is uv considered easier or faster than the usual Python workflow?,f81dea8f7e
"Why does my Jupyter notebook say OPENAI_API_KEY is missing, even though I put it in .env?",86d99bbf21
Do I need python-dotenv for the API key to show up in the notebook?,86d99bbf21
Where should I call load_dotenv() before making the OpenAI client?,86d99bbf21
What exact variable name should I use in my .env file for the key?,86d99bbf21
"I already added the key, but notebook still can't see it — what am I missing?",86d99bbf21
How do I keep my API keys in a .env file without pushing them to git?,233dabe430
What's the easiest way to read OPENAI_API_KEY or GROQ_API_KEY from a .env file in Python?,233dabe430
Do I need to install anything to load environment variables from .env in my script?,233dabe430
What should I put in .gitignore so my API keys stay private?,233dabe430
"Can I use python-dotenv to load multiple keys like OpenAI, Groq, and Gemini?",233dabe430
"Can I swap the homework model for another one, or do I have to use the recommended one?",ee43413718
"Is it okay to use a different LLM provider like Gemini, Groq, OpenRouter, Azure OpenAI, or a local model for the assignment?",ee43413718
"Do I need a paid API to complete the homework, or is there a free option?",ee43413718
"If I choose a different provider, what parts of the code usually need to change?",ee43413718
Where can I find a list of OpenAI API alternatives suggested by the course?,ee43413718
How can I set up Gemini in the Module 1 RAG notebook if I want to use Google’s OpenAI-style endpoint instead of the usual one?,0ae5c221b9
What do I need in my `.env` file and client setup to call a Gemini model from the course notebook?,0ae5c221b9
Is there a simple `llm()` example for Gemini that works with `OpenAI` and the OpenAI-compatible base URL?,0ae5c221b9
Why does the notebook need changes when switching from the Responses API to chat completions with Gemini?,0ae5c221b9
Which Gemini model name should I pass in the request when using the OpenAI-compatible API in the RAG module?,0ae5c221b9
How do I get a Pydantic object back from Gemini when the newer parse method isn’t there?,341f71f28c
What’s the OpenAI SDK way to do structured output with Gemini through the compatible endpoint?,341f71f28c
Can I use chat completions parsing instead of the Responses API for Gemini structured output?,341f71f28c
How do I define the schema and call Gemini so I get parsed FAQ questions directly?,341f71f28c
"Why is my Gemini call not returning parsed objects, and how should I set up response_format?",341f71f28c
"How do I install Ollama on macOS, Windows, or Linux for the RAG module?",1d0b969028
"After installing Ollama, what command should I run first to download and start Llama 3 locally?",1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
What do I need to install in Python to talk to Ollama from my code?,1d0b969028
Can you show a tiny Python example for sending a chat prompt to Ollama and printing the reply?,1d0b969028
How do I fix a connection refused error when I try prompting Ollama in the RAG homework?,c6fc2d4d11
My Ollama setup says connection refused in Module 1 RAG — do I need to restart the server?,c6fc2d4d11
What command should I run to get Ollama serving again if it stops during the notebook?,c6fc2d4d11
"If I rerun the notebook after stopping a cell, do I need to start ollama serve again?",c6fc2d4d11
"Why am I getting a connection refused error with Ollama, and what’s the quickest way to recover?",c6fc2d4d11
Why do I get a different token number from `tiktoken` than the OpenAI API shows for the same prompt?,bf0403d21b
"Does each chat message add extra hidden tokens in `chat.completions.create()`, and if so, how many?",bf0403d21b
Where do the extra few tokens come from when OpenAI reports more tokens than my local count?,bf0403d21b
"Can whitespace, newlines, or weird Unicode make the token count higher than expected?",bf0403d21b
Why is my prompt 320 tokens locally but 327 tokens in OpenAI's usage output?,bf0403d21b
How can I keep my API key loaded automatically in this project instead of exporting it in every new terminal?,8b2f5e9d04
Is there a way to use a local .env file so my OpenAI key gets picked up when I cd into the folder?,8b2f5e9d04
What should I install and put in my shell config to auto-load env vars from the project directory?,8b2f5e9d04
"If I already use direnv, can I use that here or do I need a different tool for .env files?",8b2f5e9d04
"What’s the right approach for secrets in GitHub Codespaces, and how do I do the same thing in a Python script?",8b2f5e9d04
How do I pick good field weights in minsearch without just guessing?,87d4ea4e08
Is there a proper way to tune search field weights instead of doing trial and error?,87d4ea4e08
What should I use to test different field weights for retrieval in a search engine?,87d4ea4e08
How can I know which weight settings are actually better for my search results?,87d4ea4e08
Do I need some labeled questions and docs before I start adjusting field weights?,87d4ea4e08
What’s the best way to clean docs before using them in RAG?,649c280e6d
"Do I need to strip out HTML, duplicates, and OCR mistakes when preparing data for retrieval?",649c280e6d
"Should I keep things like titles, section headings, page numbers, and speaker names in my RAG docs?",649c280e6d
"Is JSON required for storing documents in a RAG pipeline, or can I use something else?",649c280e6d
How should I chunk and organize source material so retrieval works better?,649c280e6d
My Codespaces terminal shows “Failed to hardlink files” from uv — do I need to worry about it?,acf8fa5356
"When uv can’t hardlink in GitHub Codespaces, does the install still work or is it broken?",acf8fa5356
How can I stop the uv hardlink warning from appearing just for my current shell?,acf8fa5356
What’s the easiest way to make uv use copy mode every time I open Codespaces?,acf8fa5356
Is there a uv setting for Codespaces that avoids the hardlink/copy warning?,acf8fa5356
My notebook says dotenv is not recognized — what package do I need to install?,0bed1f48da
How do I add support for load_dotenv in my Python environment?,0bed1f48da
What pip/uv package should I install if dotenv import fails?,0bed1f48da
Is python-dotenv the right dependency for using dotenv in a RAG project?,0bed1f48da
"After installing python-dotenv, how do I load my .env file in Python?",0bed1f48da
Can I do the course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required for Module 1, or can I set everything up locally?",aa310de435
What do I need installed if I want to work through the RAG module on my laptop?,aa310de435
"If I skip Codespaces and run the course locally, do I need to keep track of my setup somehow?",aa310de435
Is it okay to use a local Python/Jupyter/Docker setup for the course as long as it’s reproducible?,aa310de435
"If I leave my code uncommitted in GitHub Codespaces, is it still saved somewhere or can I lose it?",610ccb23c0
Does work in Codespaces stay on the Linux VM even when I don't push commits yet?,610ccb23c0
Why should I commit regularly if Codespaces already keeps my files inside the VM?,610ccb23c0
Can a Codespace stop or get deleted and take my uncommitted changes with it?,610ccb23c0
"Where is my code stored in Codespaces before I commit it, and is that enough for backup?",610ccb23c0
"Why does WSL2 say my model needs more memory than is available, even though my PC has enough RAM?",f3dd94f323
How can I increase the RAM that WSL2 is allowed to use on Windows?,f3dd94f323
Where do I put the .wslconfig file to give WSL2 more memory?,f3dd94f323
What should I write inside .wslconfig to set WSL2 memory to 8GB?,f3dd94f323
"After changing WSL2 memory settings, how do I restart it and check if the new RAM limit worked?",f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and won't reconnect — what's the quickest thing to try first?",830f3d2018
"If my Codespace keeps failing to open, should I use the browser version or another browser instead of desktop VS Code?",830f3d2018
What do I do if stopping and restarting the Codespace doesn't fix the connection problem?,830f3d2018
"Why did my setup disappear after a rebuild or new Codespace, and what kinds of installs are not kept?",830f3d2018
"How can I avoid losing my changes when a Codespace is deleted or recreated, and is running the course locally an option?",830f3d2018
Can I skip OpenAI and use another LLM service for the RAG homework?,c6ff9083c0
"If my provider is blocked in my country, what are my options for running the course code?",c6ff9083c0
"Which alternatives work with the same API style, or do I need to rewrite everything?",c6ff9083c0
Could I just run a model on my laptop or a local tool like Ollama instead of using a paid API?,c6ff9083c0
Where can I find a list of supported OpenAI alternatives for this course?,c6ff9083c0
How can I stop 429 rate limit errors when my notebook is looping through lots of docs?,8e21752415
What’s the easiest way to make OpenAI calls retry instead of failing on temporary rate limits?,8e21752415
How many workers should I use in a thread pool so I don’t hit the per-minute cap too fast?,8e21752415
Should I save embeddings and LLM outputs somewhere so rerunning the notebook doesn’t call the API again?,8e21752415
Is there a cheaper model or provider I can use for the course instead of burning through my OpenAI quota?,8e21752415
What exactly counts as a tool or function in agentic RAG?,c296ea5a21
"Are tools and functions different in this module, or is it basically the same thing?",c296ea5a21
When would an LLM call a tool instead of answering directly?,c296ea5a21
Can you give a few examples of tools/functions used with RAG?,c296ea5a21
How is tool use in agentic RAG different from normal RAG retrieval?,c296ea5a21
Which free models can I use if I need tool calling support?,0d74a3616f
"Does Groq have any models with tool use for development, like Deepseek R1 or Llama 4?",0d74a3616f
"Besides OpenAI, what other providers support function calling or tools?",0d74a3616f
"Will I need to change my code if I switch from OpenAI to Groq, Mistral, Gemini, or Ollama?",0d74a3616f
Where can I read the docs for Groq tool use support?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I switch my agent to a Mistral or Groq model with OpenAI’s Responses API?,9e7b3f0c25
"Can I use `client.responses.create(...)` with Gemini, Mistral, or other non-OpenAI models, or is that only for OpenAI?",9e7b3f0c25
What should I use instead of `response.output` when my model provider doesn’t support the new Responses API?,9e7b3f0c25
How do I change my code to use chat completions for a non-OpenAI provider in Agentic RAG?,9e7b3f0c25
Is it fine to keep using the older `chat.completions` interface for homework if the provider works better that way?,9e7b3f0c25
Why do I get Error code 400 saying `Missing required parameter: tools[0].function` when I try Azure OpenAI with tool calling?,b9c7c6bb34
How should I define the weather tool JSON for Azure OpenAI so the function field is accepted?,b9c7c6bb34
Is my `get_weather_tool` format wrong if Azure says `tools[0].function` is missing?,b9c7c6bb34
What exact structure should the `get_weather_tool` object have for a weather function in Azure OpenAI?,b9c7c6bb34
Can you show the corrected JSON for a `get_weather` tool with city as the required parameter?,b9c7c6bb34
Why do I get a 404 error when I try to use toyaikit with Groq or another non-OpenAI provider?,0224d980b3
How can I make toyaikit work with OpenAI-compatible chat APIs instead of the Responses endpoint?,0224d980b3
"Is there a way to use Anthropic with toyaikit, and which runner/client should I use?",0224d980b3
"What’s the difference between runner.loop() and runner.run() in toyaikit, and when should I use each one?",0224d980b3
"Why does toyaikit sometimes warn about an unknown model or missing pricing data, and does it break the request?",0224d980b3
Where do I actually get the Module 1 homework questions for the 2026 cohort?,53f15299b6
"Is the homework only on the course platform, or is there a GitHub page too?",53f15299b6
Can you point me to the repo links for Module 1 homework and materials?,53f15299b6
Where should I check if I want the homework instructions plus any extra details?,53f15299b6
Do I need to look at GitHub or the platform to submit Module 1 homework and see deadlines?,53f15299b6
Why am I getting an empty list back when I filter my query in HW Q3?,83da208a64
Could this be caused by indexing the data in the wrong order for the homework?,83da208a64
Do I need to set the index settings before loading the documents into Elasticsearch?,83da208a64
What should I check if my query works but filtering still returns nothing?,83da208a64
"In Module 1 Homework Q3, how do I fix an empty result after applying filters?",83da208a64
Why am I getting a 402 from OpenRouter when I call responses.create()?,cfb07a27d5
Do I need to set max_output_tokens somewhere in rag_helper.py for the homework?,cfb07a27d5
What value should I use for max_output_tokens so OpenRouter stops rejecting the request?,cfb07a27d5
How do I configure ToyAIKit's OpenAIClient to avoid this OpenRouter error?,cfb07a27d5
"If the 402 keeps happening, what should I check in my .env or OpenRouter key settings?",cfb07a27d5
"In the Module 1 homework, what does it mean to point RAG at the chunk index instead of the original docs?",b4300adeb1
Should I build the search index from `chunks` or from `documents` for the homework RAG setup?,b4300adeb1
"If I split my data into chunks, do I still fit the index on the full records or on the split ones?",b4300adeb1
"Why does the homework say to use the chunked index for retrieval, not the original documents?",b4300adeb1
"When the RAG pipeline runs, what exactly should go into the prompt: whole documents or just the retrieved chunks?",b4300adeb1
"Do homework answers have to match the multiple-choice options exactly, or can I pick the nearest one?",5e4ca64cb5
"If my numeric result is a little different from the listed choices, should I still select the closest answer?",5e4ca64cb5
What usually causes small mismatches between my homework output and the answer options?,5e4ca64cb5
When should I worry that my homework answer is too far from all the options?,5e4ca64cb5
Where can I check the homework rules if I’m not sure about choosing the closest option?,5e4ca64cb5
Where should I look first when the homework instructions on the course page don’t make sense?,7d3a2e3505
"For Module 1, what links do I need to check before starting the homework in the 2026 cohort?",7d3a2e3505
Why does the homework seem different from the lesson even though it’s based on the same topic?,7d3a2e3505
"If I’m still confused after reading the homework docs, what’s the best way to ask for help in Slack?",7d3a2e3505
"Should I paste screenshots when asking about homework problems, or is there a better way to share the error/output?",7d3a2e3505
How can I get the token count for the Module 1 homework if I'm using a provider other than OpenAI?,fe8fed31e6
Where should I look in the response to find input or prompt tokens for the homework?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if my model provider doesn't give token usage in the response object?,fe8fed31e6
"For the multiple-choice questions in Module 1, how should I answer if the token count is only approximate?",fe8fed31e6
Why does the homework checker fail with a 500 or other non-200 when it tries my repo link?,bcdb8740ce
Do I need to make my GitHub repo public for the submission to work?,bcdb8740ce
Should I submit the repo URL with or without the .git at the end?,bcdb8740ce
What should I check if the URL I pasted looks right but the grader still can't open it?,bcdb8740ce
Is there an easy way to test whether my repo link is reachable before resubmitting?,bcdb8740ce
"What exactly are embeddings in vector search, and why do they matter for finding similar items?",69430a79a8
How do embeddings turn text or other non-numeric data into numbers without losing the meaning?,69430a79a8
Why should similar inputs produce vectors that are close together in embedding space?,69430a79a8
How does the numerical distance between embeddings help semantic similarity search work?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
How can I get rid of the warning about `multi-qa-mpnet-base-dot-v1` being made on sentence-transformers v3 beta?,aa3f597424
Is upgrading `sentence-transformers` the way to suppress the model compatibility warning?,aa3f597424
What should I install to stop the warning from `multi-qa-mpnet-base-dot-v1`?,aa3f597424
Do I need `sentence-transformers` 3.0.0 or newer for this warning to disappear?,aa3f597424
What pip command can I run to avoid that sentence-transformers version warning?,aa3f597424
Why did the lesson use `.dot(...)` for cosine similarity instead of explicitly normalizing the vectors first?,92cd22cada
"Are the embeddings from `model.encode(...)` already unit-length, so dot product matches cosine similarity?",92cd22cada
"Why does the homework tell us to normalize vectors before comparing them, while the lesson didn't seem to need that?",92cd22cada
"With TF-IDF plus SVD embeddings, is a plain dot product enough, or do we have to normalize first?",92cd22cada
What's the actual difference between using dot product directly and using cosine similarity when the vectors are not normalized?,92cd22cada
"For vector search in this project, is it better to embed only the answer, only the question, or both together?",5c4a8d2e60
Why does the course say embedding just the answer can still work for semantic search?,5c4a8d2e60
What is the point of embedding only the question if the user query is what I search with?,5c4a8d2e60
"Should I concatenate question and text before embedding, and what is the tradeoff if I do?",5c4a8d2e60
How do I decide which embedding setup is best for my dataset?,5c4a8d2e60
How do you define cosine similarity in vector search?,db78580409
Why is cosine similarity useful for comparing documents or text embeddings?,db78580409
"What does a cosine similarity score of 1, 0, or -1 actually mean?",db78580409
"Can cosine similarity be used with any vector, or only non-zero ones?",db78580409
How is the angle between two vectors related to cosine similarity?,db78580409
Why can cosine similarity be computed with just a dot product when the vectors are normalized?,95feb4e75b
How does normalizing embeddings make cosine similarity ignore vector length?,95feb4e75b
"In vector search, why is cosine similarity basically a matrix multiply after unit normalization?",95feb4e75b
What changes in the similarity calculation once all document vectors and the query are normalized to length 1?,95feb4e75b
Why does using unit-length embeddings let us compare the query to all documents with matrix multiplication?,95feb4e75b
"For Module 2, do I need to create a brand-new GitHub repo, or is making another codespace enough?",1e829a8c6f
Why should I use a separate codespace for the vector search module instead of keeping everything in the Module 1 one?,1e829a8c6f
"If I spin up a new codespace for Module 2, can I just reuse my existing repository?",1e829a8c6f
"What happens to my Module 2 work if I delete the codespace later, and do I need to commit it first?",1e829a8c6f
Is there any reason to keep the heavy vector-search setup isolated in its own codespace rather than adding it to my old one?,1e829a8c6f
"Why is download.py stuck at 0% while getting model.onnx from HuggingFace, and how can I fix it?",29b69fbe0b
Is there a way to avoid the download.py hang if the HuggingFace CDN is slow or blocked?,29b69fbe0b
Can I just fetch model.onnx in my browser instead of waiting for the script to finish?,29b69fbe0b
Where should I put the downloaded model.onnx so the script will use it without downloading again?,29b69fbe0b
"Why does the model download keep starting over, and how can I make it skip once the file is already saved locally?",29b69fbe0b
"Why do the matrix-dot version and the loop version of vector search return slightly different numbers, even though they should be the same?",e889793af9
"Is it normal for `np.allclose(scores, scores_loop)` to be false when comparing vector search scores from `X.dot(v_query)` and a Python loop?",e889793af9
Why does the optimized `dot` calculation not exactly match the for-loop result in the vector search lesson?,e889793af9
Should I worry if two ways of computing dot products give tiny differences in the last few decimal places?,e889793af9
What’s the right way to compare vector search scores if the matrix version and loop version don’t match exactly?,e889793af9
Why am I getting an IndexError: list index out of range when I try to access the best chunk in vector search?,1a7b27c4df
"Could this error happen because the number of embeddings doesn't match the number of chunks, and how do I fix it?",1a7b27c4df
"In Module 2, what's the right way to build embeddings from chunks so I don't end up with a best-chunk indexing error?",1a7b27c4df
My search code crashes when picking the top chunk — should I be encoding the chunk contents directly instead of something else?,1a7b27c4df
How do I make sure the embeddings array has the same length as my chunks list to avoid this IndexError?,1a7b27c4df
"For Module 2 homework Q2, why is my cosine similarity not matching any answer choice even though my code seems fine?",eaa17a9dc6
"Am I supposed to use sentence-transformers for the embedding in Q2, or is there another model the homework expects?",eaa17a9dc6
"Could the issue with my Q2 cosine score be that I embedded the wrong thing, like the filename or the whole JSON instead of the page content?",eaa17a9dc6
"Do I need to compare the Q2 page vector with the Q1 query vector, and are the embeddings already normalized?",eaa17a9dc6
"If my cosine similarity is still a little different after using the homework setup, should I just choose the nearest option?",eaa17a9dc6
How do I set up Gemini and OpenAI/Tavily keys so Kestra can use them in the orchestration module?,3860e5fe8b
Why does Kestra want the API keys as base64-encoded env vars with a SECRET_ prefix?,3860e5fe8b
"Do I need both GEMINI_API_KEY and SECRET_GEMINI_API_KEY, or is one of them enough?",3860e5fe8b
"Where should I export the OpenAI and Tavily secrets before starting Kestra, and how do I restart it after that?",3860e5fe8b
"In a Kestra flow, what secret name should I use if the env var is stored as SECRET_GEMINI_API_KEY?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help create Kestra flows, and what should I check first?",04440cab11
Do I need to set a different environment variable for the Copilot than for the flows in Kestra?,04440cab11
"If I already have `SECRET_GEMINI_API_KEY` set, why is the AI Copilot still refusing to answer?",04440cab11
What’s the right way to export the Gemini key before restarting Kestra in Docker Compose?,04440cab11
"Could the Copilot error be caused by a bad key or quota issue, and how do I tell?",04440cab11
Why does Kestra say my Gemini API key is invalid even though I already set SECRET_GEMINI_API_KEY?,c8ca21af33
Could a trailing newline or space break the base64 secret for Kestra?,c8ca21af33
"After exporting the API key, do I need to restart Kestra or will it pick up the env var automatically?",c8ca21af33
"When I use a secret in a Kestra flow, should I reference SECRET_GEMINI_API_KEY or just GEMINI_API_KEY?",c8ca21af33
"What’s the best way to load the Gemini key into Kestra, a shell export or a .env file with docker compose?",c8ca21af33
Why not just build the whole thing in a notebook instead of using Kestra or another orchestrator?,193612db63
"What does an orchestrator actually give me that a plain Python script doesn’t, like retries or scheduling?",193612db63
"In this module, is Kestra only for running workflows, or is it also part of the AI stuff we’re learning?",193612db63
"Can I switch between OpenAI, Gemini, and Anthropic in a Kestra flow without rewriting the workflow?",193612db63
What’s the point of orchestration for AI projects if the code already works in a notebook?,193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it just the tool for Module 3?",cce328db64
"For the capstone project, can I use Airflow or Prefect instead of Kestra, or even skip an orchestrator completely?",cce328db64
"If I build my ingestion pipeline with a plain Python script, will that still count for the project requirements?",cce328db64
"Should I learn Kestra only for the homework in Module 3, or is it needed in the final project too?",cce328db64
I already know Airflow — is it okay if I just compare it with Kestra in the module and then use a different setup for my project?,cce328db64
"Does Kestra work with providers other than Gemini, like Groq or Ollama, or even a local model?",f442efe5b4
"If I switch from Gemini to another AI provider in a Kestra flow, do I need to rewrite the rest of the workflow?",f442efe5b4
"What AI providers are supported by Kestra’s generic plugin, and is there a full list somewhere?",f442efe5b4
Why does the course use Gemini in examples if Kestra can talk to other models too?,f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the vendor-specific ones like OpenAI or Gemini?,f442efe5b4
"Is there a way to build a Kestra flow without editing YAML by hand, like a form or no-code setup?",bfe5502c30
"Can Kestra make a workflow from a plain-English prompt, and can I keep refining it after the first draft?",bfe5502c30
"Do tools like Claude Code, Codex, or Kestra CTL let me create Kestra flows from my editor and send them directly to Kestra?",bfe5502c30
How is Kestra different from Airflow when it comes to keeping my Python script separate from orchestration stuff?,bfe5502c30
"For a simple automation like posting to Slack when a YouTube video goes live, would something like Zapier or n8n be easier than using Kestra?",bfe5502c30
Why does ChatGPT sometimes invent Kestra YAML fields like bucket or name instead of the real ones?,93a3e8b98c
